"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","KostenProKopf"
"dekarbonisiert","base","base","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.15e+09,0.2,0.2,-302.631578947368
"base","ganze Stadt","base","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.19e+09,0.1,0.1,-313.157894736842
"dekarbonisiert","ganze Stadt","base","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.14e+09,0.1,0.1,-300
"base","base","stark","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.13e+09,0.1,0.1,-297.368421052632
"dekarbonisiert","base","stark","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.08e+09,0.1,0.1,-284.210526315789
"base","ganze Stadt","stark","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.12e+09,0.1,0.1,-294.736842105263
"dekarbonisiert","ganze Stadt","stark","mautFossil","base","Besucher_teuer_Anwohner_teuer",0.1,-1.07e+09,0.1,0.1,-281.578947368421
"base","base","base","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.93e+09,0.1,0.1,-507.894736842105
"dekarbonisiert","base","base","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.88e+09,0.1,0.1,-494.736842105263
"base","ganze Stadt","base","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.92e+09,0.1,0.1,-505.263157894737
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.87e+09,0.1,0.1,-492.105263157895
"base","base","stark","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.86e+09,0.1,0.1,-489.473684210526
"dekarbonisiert","base","stark","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.81e+09,0.1,0.1,-476.315789473684
"base","ganze Stadt","stark","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.85e+09,0.1,0.1,-486.842105263158
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","base","Besucher_teuer_Anwohner_teuer",0.1,-1.8e+09,0.1,0.1,-473.684210526316
"base","base","base","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.01198,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.00198,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.011782,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.001782,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.011782,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.001782,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.0116038,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","base","Besucher_teuer_Anwohner_teuer",0.0016038,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.01198,-4.7e+08,0.1,0.1,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.00198,-4.2e+08,0.1,0.1,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.011782,-4.6e+08,0.1,0.1,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.001782,-4.1e+08,0.1,0.1,-107.894736842105
"base","base","stark","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.011782,-4e+08,0.1,0.1,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.001782,-3.5e+08,0.1,0.1,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.0116038,-3.9e+08,0.1,0.1,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","base","Besucher_teuer_Anwohner_teuer",0.0016038,-3.4e+08,0.1,0.1,-89.4736842105263
"base","base","base","autofrei","base","Besucher_teuer_Anwohner_teuer",0.01,-4.7e+08,0,0,-123.684210526316
"dekarbonisiert","base","base","autofrei","base","Besucher_teuer_Anwohner_teuer",0,-4.2e+08,0,0,-110.526315789474
"base","ganze Stadt","base","autofrei","base","Besucher_teuer_Anwohner_teuer",0.01,-4.6e+08,0,0,-121.052631578947
"dekarbonisiert","ganze Stadt","base","autofrei","base","Besucher_teuer_Anwohner_teuer",0,-4.1e+08,0,0,-107.894736842105
"base","base","stark","autofrei","base","Besucher_teuer_Anwohner_teuer",0.01,-4e+08,0,0,-105.263157894737
"dekarbonisiert","base","stark","autofrei","base","Besucher_teuer_Anwohner_teuer",0,-3.5e+08,0,0,-92.1052631578947
"base","ganze Stadt","stark","autofrei","base","Besucher_teuer_Anwohner_teuer",0.01,-3.9e+08,0,0,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","autofrei","base","Besucher_teuer_Anwohner_teuer",0,-3.4e+08,0,0,-89.4736842105263
"base","base","base","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","base","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.2,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.2e+09,0.1,0.1,-315.789473684211
"dekarbonisiert","base","base","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.15e+09,0.1,0.1,-302.631578947368
"base","ganze Stadt","base","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.19e+09,0.1,0.1,-313.157894736842
"dekarbonisiert","ganze Stadt","base","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.14e+09,0.1,0.1,-300
"base","base","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.13e+09,0.1,0.1,-297.368421052632
"dekarbonisiert","base","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.08e+09,0.1,0.1,-284.210526315789
"base","ganze Stadt","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.12e+09,0.1,0.1,-294.736842105263
"dekarbonisiert","ganze Stadt","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.07e+09,0.1,0.1,-281.578947368421
"base","base","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.93e+09,0.1,0.1,-507.894736842105
"dekarbonisiert","base","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.88e+09,0.1,0.1,-494.736842105263
"base","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.92e+09,0.1,0.1,-505.263157894737
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.87e+09,0.1,0.1,-492.105263157895
"base","base","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.86e+09,0.1,0.1,-489.473684210526
"dekarbonisiert","base","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.81e+09,0.1,0.1,-476.315789473684
"base","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.85e+09,0.1,0.1,-486.842105263158
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.1,-1.8e+09,0.1,0.1,-473.684210526316
"base","base","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.1,0.1,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.1,0.1,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.1,0.1,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.1,0.1,-107.894736842105
"base","base","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.1,0.1,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.1,0.1,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.1,0.1,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.1,0.1,-89.4736842105263
"base","base","base","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.01,-4.7e+08,0,0,-123.684210526316
"dekarbonisiert","base","base","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0,-4.2e+08,0,0,-110.526315789474
"base","ganze Stadt","base","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.01,-4.6e+08,0,0,-121.052631578947
"dekarbonisiert","ganze Stadt","base","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0,-4.1e+08,0,0,-107.894736842105
"base","base","stark","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.01,-4e+08,0,0,-105.263157894737
"dekarbonisiert","base","stark","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0,-3.5e+08,0,0,-92.1052631578947
"base","ganze Stadt","stark","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0.01,-3.9e+08,0,0,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","autofrei","nurAussenbezirke","Besucher_teuer_Anwohner_teuer",0,-3.4e+08,0,0,-89.4736842105263
"base","base","base","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","base","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.2,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.2e+09,0.1,0.1,-315.789473684211
"dekarbonisiert","base","base","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.15e+09,0.1,0.1,-302.631578947368
"base","ganze Stadt","base","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.19e+09,0.1,0.1,-313.157894736842
"dekarbonisiert","ganze Stadt","base","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.14e+09,0.1,0.1,-300
"base","base","stark","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.13e+09,0.1,0.1,-297.368421052632
"dekarbonisiert","base","stark","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.08e+09,0.1,0.1,-284.210526315789
"base","ganze Stadt","stark","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.12e+09,0.1,0.1,-294.736842105263
"dekarbonisiert","ganze Stadt","stark","mautFossil","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.07e+09,0.1,0.1,-281.578947368421
"base","base","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.93e+09,0.1,0.1,-507.894736842105
"dekarbonisiert","base","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.88e+09,0.1,0.1,-494.736842105263
"base","ganze Stadt","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.92e+09,0.1,0.1,-505.263157894737
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.87e+09,0.1,0.1,-492.105263157895
"base","base","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.86e+09,0.1,0.1,-489.473684210526
"dekarbonisiert","base","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.81e+09,0.1,0.1,-476.315789473684
"base","ganze Stadt","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.85e+09,0.1,0.1,-486.842105263158
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.8e+09,0.1,0.1,-473.684210526316
"base","base","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.1,0.1,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.1,0.1,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.1,0.1,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.1,0.1,-107.894736842105
"base","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.1,0.1,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.1,0.1,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.1,0.1,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.1,0.1,-89.4736842105263
"base","base","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4.7e+08,0,0,-123.684210526316
"dekarbonisiert","base","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-4.2e+08,0,0,-110.526315789474
"base","ganze Stadt","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4.6e+08,0,0,-121.052631578947
"dekarbonisiert","ganze Stadt","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-4.1e+08,0,0,-107.894736842105
"base","base","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4e+08,0,0,-105.263157894737
"dekarbonisiert","base","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-3.5e+08,0,0,-92.1052631578947
"base","ganze Stadt","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-3.9e+08,0,0,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-3.4e+08,0,0,-89.4736842105263
